"_id","timestamp","device_id","touch_app","touch_action","touch_action_text","scroll_items","scroll_from_index","scroll_to_index"
2568,1588039446685,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[]",-1,-1,-1
2569,1588039465506,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaa aa]",-1,-1,-1
2570,1588039477948,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",6,2,5
2571,1588039479656,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",6,3,5
2572,1588039480417,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_SCROLLED_UP","",6,1,4
2573,1588039480896,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa aaaaaa aaaa 1 aaaaaaaaaaaaa]",-1,-1,-1
2574,1588039483386,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[AA]",-1,-1,-1
2575,1588039486169,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2576,1588039487930,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaa aa aaaa a aaaaa* Aaa aaaa aaaaaaaaaaa aaa a aaaa aaa aa aaa aa aa aaaa aaaaaaa*]",-1,-1,-1
2577,1588039489379,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaaaaa* AAA* Aaa aa aaa aaaaaaaaaaaa aaaaaa aa aaaa aaaaaa aaa aa aaaa aa aaa aaaa aaaa AaaAaa aaaaaaa*]",-1,-1,-1
2578,1588039489954,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[AA]",-1,-1,-1
2579,1588039491130,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa Aaaa Aaaaaaaaaaa]",-1,-1,-1
2580,1588039493530,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[AA]",-1,-1,-1
2581,1588039494653,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2582,1588039497184,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[AaaAaa Aaaaaaaaaa *** 1111* Aaaa aaaaaaa* Aaa 1* Aaaa aaaaaaa aaa]",-1,-1,-1
2583,1588039503689,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.paypal.android.p2pmobile","ACTION_AWARE_TOUCH_CLICKED","[Aaaa a Aaaaaaa]",-1,-1,-1
