"_id","timestamp","device_id","call_type","call_duration","trace"
1,1587663260695,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,14,"d5e84f8af01b2728021d4f43f53a163c0c90000c"
2,1587739118007,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,0,"47c125dc7bd163b8612cdea13724a814917b6e93"
3,1587739651109,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,0,"DCE07117-62A7-4E9F-9749-C4718FB5887C"
4,1587739653243,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",4,2,"DCE07117-62A7-4E9F-9749-C4718FB5887C"
5,1587746544891,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,95,"9cc793ffd6e88b1d850ce540b5d7e000ef5650d4"
6,1587911379859,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,63,"51fb9344e988049a3fec774c7ca622358bf80264"
7,1587992647361,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,0,"2a862a7730cfdfaf103a9487afe3e02935fd6e02"
8,1588020039448,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,11,"a2c53f6a086d98622c06107780980cf1bb4e37bd"
9,1588083877815,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,0,"8A341D14-2FB4-4550-8C07-4C439D9F9B25"
10,1588083878774,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",4,0,"8A341D14-2FB4-4550-8C07-4C439D9F9B25"
11,1588176189024,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,65,"56589df8c830c70e330b644921ed38e08d8fd1f3"
12,1588197745079,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,0,"cab458018a8ed3b626515e794c70b6f415318adc"
13,1588182235596,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,0,"9A1A926E-A7A2-49E3-BB05-3FDF65356184"
14,1588182256245,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",4,20,"9A1A926E-A7A2-49E3-BB05-3FDF65356184"
15,1588607010066,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,0,"CAF6C9F2-C89D-4E63-B309-AB33B5BDA00F"
16,1588607020346,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",4,10,"CAF6C9F2-C89D-4E63-B309-AB33B5BDA00F"
17,1588613592251,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,0,"8B2FDA1E-EA87-4492-A5EC-257FF584C9EA"
18,1588613612474,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",4,20,"8B2FDA1E-EA87-4492-A5EC-257FF584C9EA"
