"_id","timestamp","device_id","timezone"
47,1587800603146,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
48,1587804203127,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
49,1587807803066,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
50,1587811403177,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
51,1587815002349,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
52,1587818602366,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
53,1587822202370,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
54,1587825802445,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
55,1587829402513,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
56,1587833002530,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
57,1587836602468,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
58,1587840202451,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
59,1587843802539,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
60,1587847402476,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
61,1587851002535,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
62,1587854602466,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
63,1587858202489,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
64,1587861802516,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
65,1587865402458,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
66,1587869002505,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
67,1587872602486,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
68,1587876203296,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
69,1587879803325,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
70,1587883402817,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
71,1587887002941,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
72,1587890603510,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
73,1587894203580,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
74,1587897803648,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
75,1587901402472,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
76,1587905002369,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
77,1587908602381,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
78,1587912202422,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
79,1587915802436,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
80,1587919402350,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
81,1587923002339,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Local Time Zone (America/New_York (EDT) offset -14400 (Daylight))"
