"_id","timestamp","device_id","bt_address","bt_name","bt_rssi","label"
42,1587652937048,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","B0:C5:54:49:E0:15","DCS-8010LH-E015",-91,"1587652927348"
43,1587652940538,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7A:DE:51:06:B3:A3","",-84,"1587652927348"
44,1587652940582,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","62:6B:7A:3F:7A:16","",-76,"1587652927348"
45,1587652940624,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","63:38:14:F9:D4:23","",-60,"1587652927348"
46,1587652940652,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7D:F0:EE:E0:26:3D","",-100,"1587652927348"
47,1587652940668,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-93,"1587652927348"
48,1587652940693,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:E1:F0:D5:EA:F6","",-97,"1587652927348"
49,1587652940706,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-64,"1587652927348"
50,1587652940737,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","56:4D:77:51:8D:61","",-68,"1587652927348"
51,1587652940760,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","48:B8:22:69:1B:AF","",-98,"1587652927348"
52,1587652940830,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-94,"1587652927348"
53,1587652941871,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","59:5C:30:6A:3E:C0","",-96,"1587652927348"
54,1587652941975,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-94,"1587652927348"
55,1587652941989,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:DD:2E:E3:01:EC","",-93,"1587652927348"
56,1587655448358,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-66,"1587655447227"
57,1587655448379,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","41:98:21:0F:9E:1E","",-90,"1587655447227"
58,1587655448402,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-86,"1587655447227"
59,1587655448417,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","5E:9D:E9:2E:77:7A","",-85,"1587655447227"
60,1587655448431,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:E1:F0:D5:EA:F6","",-92,"1587655447227"
61,1587655448479,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","47:62:35:B4:AC:71","",-62,"1587655447227"
62,1587655448496,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","62:80:D7:88:96:DC","",-68,"1587655447227"
63,1587655448508,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","2E:92:1A:A7:FF:22","",-95,"1587655447227"
64,1587655449127,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-93,"1587655447227"
65,1587655449181,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4E:25:1C:C8:A2:B2","",-65,"1587655447227"
66,1587655450770,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","59:5C:30:6A:3E:C0","",-95,"1587655447227"
67,1587655450792,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-93,"1587655447227"
68,1587655450837,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-93,"1587655447227"
69,1587655450860,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","75:95:2A:51:11:77","",-87,"1587655447227"
70,1587655453923,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","63:CD:9A:6E:03:65","",-98,"1587655447227"
71,1587655458784,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","55:42:CB:B7:2F:B0","",-96,"1587655447227"
72,1587655460013,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","E8:49:8C:00:47:5A","Amazfit Bip Watch",-69,"1587655447227"
73,1587655460070,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","5E:9D:E9:2E:77:7A","",-88,"1587655447227"
74,1587655461288,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-88,"1587655447227"
75,1587655461310,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-90,"1587655447227"
76,1587655461325,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-96,"1587655447227"
77,1587655461339,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","2E:92:1A:A7:FF:22","",-91,"1587655447227"
78,1587655461355,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:E1:F0:D5:EA:F6","",-95,"1587655447227"
79,1587655461367,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-88,"1587655447227"
80,1587655461395,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-66,"1587655447227"
81,1587655461429,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","62:80:D7:88:96:DC","",-70,"1587655447227"
82,1587655461444,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4E:25:1C:C8:A2:B2","",-57,"1587655447227"
83,1587655461498,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","47:62:35:B4:AC:71","",-94,"1587655447227"
84,1587655461513,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","75:95:2A:51:11:77","",-91,"1587655447227"
85,1587655462445,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","63:A5:CA:3E:FE:4C","",-90,"1587655447227"
86,1587655462467,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","41:98:21:0F:9E:1E","",-91,"1587655447227"
87,1587657283065,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-80,"1587657282290"
88,1587657283100,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","3A:FE:0C:82:6E:C0","",-89,"1587657282290"
89,1587657283118,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-85,"1587657282290"
90,1587657283154,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:E1:F0:D5:EA:F6","",-87,"1587657282290"
91,1587657283206,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","59:31:6E:F9:39:8C","",-89,"1587657282290"
92,1587657283273,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","6B:CB:16:04:AB:E8","",-97,"1587657282290"
93,1587657283292,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","6E:E9:E5:BA:C4:69","",-66,"1587657282290"
94,1587657283357,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","72:F3:44:23:15:E1","",-88,"1587657282290"
95,1587657283369,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7D:F0:EE:E0:26:3D","",-90,"1587657282290"
96,1587657283435,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","6F:DE:3C:28:4F:69","",-84,"1587657282290"
97,1587657284528,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","75:95:2A:51:11:77","",-90,"1587657282290"
98,1587657284544,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-63,"1587657282290"
99,1587657284556,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4E:25:1C:C8:A2:B2","",-63,"1587657282290"
100,1587657284581,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-86,"1587657282290"
101,1587657285724,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","E8:49:8C:00:47:5A","Amazfit Bip Watch",-66,"1587657282290"
102,1587657285801,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-86,"1587657282290"
103,1587657285820,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","41:61:B2:4E:50:23","",-93,"1587657282290"
104,1587657288816,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","3C:15:C2:CB:CC:6B","",-97,"1587657282290"
105,1587657295167,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","B0:C5:54:49:E0:15","DCS-8010LH-E015",-91,"1587657282290"
106,1587660127457,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","49:C6:A0:BC:63:C4","",-84,"1587660127419"
107,1587660127481,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","6E:23:55:CF:CA:AC","",-93,"1587660127419"
108,1587660127544,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","70:41:D4:9D:AD:A5","",-56,"1587660127419"
109,1587660127576,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","77:B6:82:4C:33:66","",-94,"1587660127419"
110,1587660127590,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-93,"1587660127419"
111,1587660127688,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","2D:0C:3E:36:42:81","",-92,"1587660127419"
112,1587660127803,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-84,"1587660127419"
113,1587660127822,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-85,"1587660127419"
114,1587660129148,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4C:5F:CC:57:FC:B5","",-93,"1587660127419"
115,1587660129201,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-65,"1587660127419"
116,1587660129223,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","55:4F:D1:66:8C:DC","",-96,"1587660127419"
