"_id","timestamp","device_id","activities","confidence","stationary","walking","running","automotive","cycling","unknown","label"
37271,1588504993761,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37272,1588504997617,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"walking\"]",1,0,1,0,0,0,0,""
37273,1588504999543,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,"supplement"
37274,1588504999602,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"walking\"]",1,0,1,0,0,0,0,""
37275,1588505000160,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"walking\"]",2,0,1,0,0,0,0,""
37276,1588505043423,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37277,1588505059570,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37278,1588505106613,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37279,1588505109508,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37280,1588505117132,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37281,1588505117731,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37282,1588505119541,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37283,1588505166335,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37284,1588505167288,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37285,1588505177771,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37286,1588505179556,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37287,1588505193655,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37288,1588505199691,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37289,1588505204773,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37290,1588505226411,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37291,1588505227010,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
37292,1588505235587,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","[\"stationary\"]",2,1,0,0,0,0,0,""
37293,1588505239118,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","",2,0,0,0,0,0,0,""
