"_id","timestamp","device_id","network_type","double_received_bytes","double_sent_bytes","double_received_packets","double_sent_packets"
4616,1588449865103,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,110,12276,1,9
4617,1588449865997,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4618,1588449866012,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,3275,10392,22,9
4619,1588449870098,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4620,1588449870113,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,42514,27440,53,51
4621,1588449874050,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4622,1588449874066,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,187781,10108,39,43
4623,1588449877129,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4624,1588449877145,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,120,0,2
4625,1588449879184,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4626,1588449879208,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,420,423,6,5
4627,1588449881204,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4628,1588449881212,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,406,538,5,7
4629,1588449882241,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4630,1588449882252,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,37100,838,7,9
4631,1588449897180,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4632,1588449897192,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,246289,10542,103,115
4633,1588449907251,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4634,1588449907261,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,6857585,117796,1351,1300
4635,1588449908261,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4636,1588449908273,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,60,0,1,0
4637,1588449911286,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4638,1588449911301,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,293,489,4,4
4639,1588449913304,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4640,1588449913323,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,144,144,2,2
4641,1588449917336,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4642,1588449917354,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,278,228,3,3
4643,1588449920352,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4644,1588449920370,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,17277,4998,32,29
4645,1588449922366,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4646,1588449922377,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,144,156,2,2
4647,1588449931425,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,-1
4648,1588449931441,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,174571,9163,80,64
4649,1588449949539,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,-3,-4
4650,1588449949555,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,19721660,494970,6513,5854
4651,1588449950544,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4652,1588449950558,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,15495,4854,18,17
4653,1588449960630,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4654,1588449960648,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,373619,50939,248,213
