"_id","timestamp","device_id","board","brand","device","build_id","hardware","manufacturer","model","product","serial","release","release_type","sdk","label"
1,1587648754926,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","msmnile","OnePlus","OnePlus7T","HD1905_14_200327","qcom","OnePlus","HD1905","OnePlus7T","unknown","10","user","29","test01"
2,1587649166928,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","Apple","iPhone","iPhone","Darwin Kernel Version 19.3.0: Thu Jan  9 21:11:29 PST 2020; root:xnu-6153.82.3~1/RELEASE_ARM64_T8020","iPhone11,2","Apple","iPhone","iPhone","Darwin Kernel Version 19.3.0: Thu Jan  9 21:11:29 PST 2020; root:xnu-6153.82.3~1/RELEASE_ARM64_T8020","19.3.0","iPhone","13.3.1","test02"
