"_id","timestamp","device_id","cid","lac","psc","signal_strength","bit_error_rate"
1,1587648784475,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
2,1587648785282,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
3,1587648791198,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
4,1587648791292,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
5,1587648791345,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
6,1587648835116,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
7,1587648953177,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
8,1587648970634,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
9,1587650596871,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
10,1587652376140,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
11,1587654195829,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
12,1587655997595,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
13,1587657807858,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
14,1587659609935,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
15,1587661407923,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
16,1587663181461,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
17,1587664995909,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
18,1587666796751,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
19,1587668595870,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
20,1587670367843,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
21,1587672470658,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
22,1587674325302,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
23,1587676105646,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
24,1587677878068,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
25,1587679721275,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
26,1587681524100,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
27,1587683321308,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
28,1587685124214,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
29,1587686921137,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
30,1587688906781,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
31,1587690738213,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
32,1587692520815,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
33,1587694320911,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
34,1587696122317,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
35,1587697921101,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
36,1587699728368,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
37,1587700642107,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9167373,44798,0,99,2147483647
38,1587701166915,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
39,1587701530302,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
40,1587703326131,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
41,1587703656652,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050327,44798,0,99,2147483647
42,1587703657953,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
43,1587703669714,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050327,44798,0,99,2147483647
44,1587703670849,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
45,1587705119932,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
46,1587706928919,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
47,1587708751069,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
48,1587710552180,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
49,1587712353191,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
50,1587714126996,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
51,1587715928697,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
52,1587717733607,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
